vietnamese,english
cái gì,what
ở đâu,where
khi nào,when
tại sao,why
như thế nào,how
ai,who
bao nhiêu,how much
mấy giờ,what time
bao lâu,how long
có không,do you have
được không,is it okay
bạn ở đâu,where are you
bạn đi đâu,where are you going
cái này là gì,what is this
bạn thích gì,what do you like
ăn gì,what to eat
uống gì,what to drink
khỏe không,are you well
hiểu không,do you understand
đúng không,is that right
