vietnamese,english
ăn,eat
uống,drink
đi,go
đến,come
nói,speak
nghe,listen
đọc,read
viết,write
học,study
làm việc,work
ngủ,sleep
thức dậy,wake up
chạy,run
đi bộ,walk
lái xe,drive
mua,buy
bán,sell
cho,give
lấy,take
mở,open
đóng,close
