vietnamese,english
nhà,house
trường học,school
bệnh viện,hospital
chợ,market
siêu thị,supermarket
nhà hàng,restaurant
công viên,park
nhà thờ,church
chùa,temple
ngân hàng,bank
bưu điện,post office
sân bay,airport
bến xe,bus station
hiệu thuốc,pharmacy
tiệm cà phê,coffee shop
cửa hàng,store
văn phòng,office
thư viện,library
