vietnamese,english
thứ hai,monday
thứ ba,tuesday
thứ tư,wednesday
thứ năm,thursday
thứ sáu,friday
thứ bảy,saturday
chủ nhật,sunday
buổi sáng,morning
buổi trưa,noon
buổi chiều,afternoon
buổi tối,evening
ban đêm,night
bình minh,dawn
hoàng hôn,dusk
nửa đêm,midnight
hôm nay,today
ngày mai,tomorrow
hôm qua,yesterday
bây giờ,now
lát nữa,later
