vietnamese,english
vâng,yes (polite)
dạ,yes (respectful)
không,no
được,okay
không được,not okay
đúng rồi,that is right
sai rồi,that is wrong
tôi hiểu,I understand
tôi không hiểu,I do not understand
tôi không biết,I do not know
tất nhiên,of course
có lẽ,maybe
chắc chắn,certainly
tôi nghĩ vậy,I think so
tôi đồng ý,I agree
cũng được,that works too
tốt lắm,very good
hay quá,so cool
tuyệt vời,wonderful
thật sao,really
ừ,yeah
ờ,uh-huh
