vietnamese,english
không,zero
một,one
hai,two
ba,three
bốn,four
năm,five
sáu,six
bảy,seven
tám,eight
chín,nine
mười,ten
mười một,eleven
mười hai,twelve
hai mươi,twenty
ba mươi,thirty
một trăm,one hundred
một nghìn,one thousand
thứ nhất,first
thứ hai,second
thứ ba,third
