vietnamese,english
vui,happy
buồn,sad
mệt,tired
đói,hungry
no,full
khát,thirsty
khỏe,healthy
ốm,sick
lo lắng,worried
tức giận,angry
sợ,scared
bận,busy
rảnh,free
vui lắm,very happy
buồn quá,so sad
mệt quá,so tired
đói quá,so hungry
thích,like
yêu,love
ghét,hate
chán,bored
hào hứng,excited
bình thường,normal
thoải mái,comfortable
