vietnamese,english
cơm,rice
phở,pho (noodle soup)
bánh mì,bread
thịt,meat
cá,fish
rau,vegetable
trái cây,fruit
nước,water
cà phê,coffee
trà,tea
sữa,milk
trứng,egg
gà,chicken
heo,pork
bò,beef
