vietnamese,english
xin chào,hello
tạm biệt,goodbye
chào buổi sáng,good morning
chào buổi tối,good evening
chúc ngủ ngon,good night
cảm ơn,thank you
không có gì,you're welcome
xin lỗi,sorry
làm ơn,please
hẹn gặp lại,see you again
